#FIELD,ID,X,Y,P_merg
STRIPE82-0125,SPLUS.STRIPE82-0125.34088.griz,5220.609,9189.041,0.983134388923645
STRIPE82-0127,SPLUS.STRIPE82-0127.34205.griz,1894.68,9031.806,0.9968112111091614
STRIPE82-0127,SPLUS.STRIPE82-0127.35071.griz,1786.809,8728.725,0.9506451487541199
STRIPE82-0131,SPLUS.STRIPE82-0131.31948.griz,6129.744000000001,9673.344000000001,0.9811763167381287
STRIPE82-0133,SPLUS.STRIPE82-0133.35573.griz,5879.443,9168.364,0.9740210175514221
STRIPE82-0137,SPLUS.STRIPE82-0137.31782.griz,2544.929,9652.610999999999,0.970574140548706
STRIPE82-0143,SPLUS.STRIPE82-0143.26368.griz,5727.397,9674.873,0.9630845785140991
STRIPE82-0157,SPLUS.STRIPE82-0157.34413.griz,2525.198,9728.68,0.9986868500709534
STRIPE82-0163,SPLUS.STRIPE82-0163.19329.griz,1869.774,8865.101,0.9522112607955933
STRIPE82-0166,SPLUS.STRIPE82-0166.00359.griz,8581.256,905.681,0.9972853660583496
STRIPE82-0165,SPLUS.STRIPE82-0165.20995.griz,7105.432,8849.431999999999,0.997793436050415
STRIPE82-0169,SPLUS.STRIPE82-0169.14035.griz,1894.511,9124.162,0.9918575882911682
STRIPE82-0001,SPLUS.STRIPE82-0001.15853.griz,9483.957,9366.142,0.9813976287841797
STRIPE82-0003,SPLUS.STRIPE82-0003.16989.griz,4032.4840000000004,9715.026,0.9971852898597717
STRIPE82-0005,SPLUS.STRIPE82-0005.12433.griz,10205.336,10050.619,0.97625732421875
STRIPE82-0005,SPLUS.STRIPE82-0005.16593.griz,6449.1630000000005,9246.083,0.9882752895355225
STRIPE82-0007,SPLUS.STRIPE82-0007.30696.griz,10490.675,9842.021,0.9999861717224121
STRIPE82-0009,SPLUS.STRIPE82-0009.38538.griz,9063.148000000001,8787.216,0.9815214276313782
STRIPE82-0011,SPLUS.STRIPE82-0011.19690.griz,4169.955,8978.621,0.9588557481765747
STRIPE82-0019,SPLUS.STRIPE82-0019.14324.griz,9985.937,9906.35,0.9872570037841797
STRIPE82-0019,SPLUS.STRIPE82-0019.18233.griz,2576.585,9086.165,0.9923843741416931
STRIPE82-0116,SPLUS.STRIPE82-0116.13629.griz,4007.257,3481.255,0.9994148015975952
STRIPE82-0118,SPLUS.STRIPE82-0118.10348.griz,3141.105,2966.395,0.9967477321624756
STRIPE82-0120,SPLUS.STRIPE82-0120.11432.griz,9153.7,3289.458,0.9903944134712219
STRIPE82-0126,SPLUS.STRIPE82-0126.04602.griz,10002.301,3237.7470000000003,0.9991389513015747
STRIPE82-0132,SPLUS.STRIPE82-0132.10682.griz,9253.747,3195.547,0.9986103773117065
STRIPE82-0134,SPLUS.STRIPE82-0134.07200.griz,2322.354,3335.719,0.9999856948852539
STRIPE82-0140,SPLUS.STRIPE82-0140.10030.griz,2597.845,2736.84,0.9619446992874146
STRIPE82-0148,SPLUS.STRIPE82-0148.08647.griz,5033.1990000000005,3451.353,0.9906875491142273
STRIPE82-0148,SPLUS.STRIPE82-0148.06976.griz,5002.163,2948.671,0.9798291325569153
STRIPE82-0148,SPLUS.STRIPE82-0148.08521.griz,4990.523,3341.8309999999997,0.9887185096740723
STRIPE82-0150,SPLUS.STRIPE82-0150.06148.griz,6857.3330000000005,3282.526,0.9800356030464172
STRIPE82-0150,SPLUS.STRIPE82-0150.06060.griz,4868.264,3254.2309999999998,0.9826111197471619
STRIPE82-0150,SPLUS.STRIPE82-0150.04462.griz,4272.819,2671.3590000000004,0.980370044708252
STRIPE82-0150,SPLUS.STRIPE82-0150.04521.griz,4273.812,2694.115,0.9999655485153198
STRIPE82-0154,SPLUS.STRIPE82-0154.09653.griz,3958.393,3298.5040000000004,0.9996669292449951
STRIPE82-0158,SPLUS.STRIPE82-0158.07342.griz,6840.424,3341.1740000000004,0.9833985567092896
STRIPE82-0162,SPLUS.STRIPE82-0162.06940.griz,5774.562,3631.656,0.9955211877822876
STRIPE82-0164,SPLUS.STRIPE82-0164.12678.griz,3927.744,3512.4320000000002,0.9826140999794006
STRIPE82-0168,SPLUS.STRIPE82-0168.03323.griz,9964.295,2611.362,0.9812569618225098
STRIPE82-0170,SPLUS.STRIPE82-0170.06654.griz,1944.648,2566.63,0.9965002536773682
STRIPE82-0002,SPLUS.STRIPE82-0002.06705.griz,6769.378000000001,2451.132,0.9997950196266174
STRIPE82-0008,SPLUS.STRIPE82-0008.08854.griz,4002.921,3113.3340000000003,0.9663369655609131
STRIPE82-0008,SPLUS.STRIPE82-0008.08747.griz,2627.9790000000003,3233.0820000000003,0.9986029267311096
STRIPE82-0012,SPLUS.STRIPE82-0012.07885.griz,3774.083,2985.821,0.9821042418479919
STRIPE82-0014,SPLUS.STRIPE82-0014.07004.griz,9822.224,2962.095,0.9974002838134766
STRIPE82-0014,SPLUS.STRIPE82-0014.08047.griz,9815.714,3284.237,0.9999384880065918
STRIPE82-0014,SPLUS.STRIPE82-0014.06772.griz,8732.546,2862.215,0.9990870952606201
STRIPE82-0020,SPLUS.STRIPE82-0020.05603.griz,5035.63,2350.112,0.9995262622833252
STRIPE82-0020,SPLUS.STRIPE82-0020.08922.griz,3279.0440000000003,3237.9509999999996,0.966069757938385
STRIPE82-0116,SPLUS.STRIPE82-0116.29710.griz,3188.085,6218.741,0.9693633913993835
STRIPE82-0116,SPLUS.STRIPE82-0116.28443.griz,1873.836,6035.934,0.9963996410369873
STRIPE82-0120,SPLUS.STRIPE82-0120.24091.griz,2045.721,5616.201999999999,0.9688261151313782
STRIPE82-0122,SPLUS.STRIPE82-0122.20078.griz,7382.1230000000005,5134.36,0.9885371923446655
STRIPE82-0124,SPLUS.STRIPE82-0124.25352.griz,9439.049,5242.849,0.9906766414642334
STRIPE82-0134,SPLUS.STRIPE82-0134.14829.griz,2873.091,5471.321,0.9956477284431458
STRIPE82-0136,SPLUS.STRIPE82-0136.17104.griz,5536.991,6064.501,0.9994713664054871
STRIPE82-0138,SPLUS.STRIPE82-0138.14493.griz,10324.607,5062.53,0.9846752285957336
STRIPE82-0138,SPLUS.STRIPE82-0138.15457.griz,1815.01,5346.503000000001,0.9984753727912903
STRIPE82-0142,SPLUS.STRIPE82-0142.14316.griz,7622.589,5302.3,0.9740719199180603
STRIPE82-0148,SPLUS.STRIPE82-0148.30560.griz,4253.628,6298.743,0.9778957962989807
STRIPE82-0150,SPLUS.STRIPE82-0150.22355.griz,4380.405,6388.27,0.979682981967926
STRIPE82-0152,SPLUS.STRIPE82-0152.19724.griz,3813.824,5447.109,0.9788424968719482
STRIPE82-0156,SPLUS.STRIPE82-0156.17241.griz,5547.954000000001,5531.783,0.9950240254402161
STRIPE82-0170,SPLUS.STRIPE82-0170.17630.griz,1312.69,5414.431,0.9969313144683838
STRIPE82-0002,SPLUS.STRIPE82-0002.16968.griz,5599.811,5337.644,0.9970801472663879
STRIPE82-0006,SPLUS.STRIPE82-0006.11887.griz,1497.307,5960.847,0.9938592314720154
STRIPE82-0008,SPLUS.STRIPE82-0008.15010.griz,5361.698,5083.803,0.9957634210586548
STRIPE82-0010,SPLUS.STRIPE82-0010.21774.griz,5181.994000000001,5930.172,0.9999309778213501
STRIPE82-0016,SPLUS.STRIPE82-0016.29594.griz,1548.6729999999998,6003.812,0.9978106617927551
STRIPE82-0120,SPLUS.STRIPE82-0120.39437.griz,4405.585,8395.815999999999,0.9998428821563721
STRIPE82-0120,SPLUS.STRIPE82-0120.42288.griz,3794.934,7913.590999999999,0.9999573230743408
STRIPE82-0120,SPLUS.STRIPE82-0120.41276.griz,3812.527,7928.555,0.999937891960144
STRIPE82-0122,SPLUS.STRIPE82-0122.35279.griz,8585.114,8923.306999999999,0.9582691788673401
STRIPE82-0126,SPLUS.STRIPE82-0126.14651.griz,1550.3529999999998,8663.848,0.951065182685852
STRIPE82-0140,SPLUS.STRIPE82-0140.36227.griz,3843.2059999999997,8642.083,0.9923253059387207
STRIPE82-0142,SPLUS.STRIPE82-0142.19938.griz,4838.48,8809.127,0.9919360876083374
STRIPE82-0144,SPLUS.STRIPE82-0144.21279.griz,6969.354,8709.94,0.9999972581863403
STRIPE82-0146,SPLUS.STRIPE82-0146.20623.griz,3516.402,8578.603000000001,0.9993354678153992
STRIPE82-0148,SPLUS.STRIPE82-0148.22709.griz,4838.104,8227.815999999999,0.9980601668357849
STRIPE82-0150,SPLUS.STRIPE82-0150.16422.griz,9429.834,8866.878,0.9524849057197571
STRIPE82-0150,SPLUS.STRIPE82-0150.16895.griz,4717.86,8696.002,0.9780803918838501
STRIPE82-0150,SPLUS.STRIPE82-0150.16245.griz,2411.66,8921.845,0.9938856959342957
STRIPE82-0152,SPLUS.STRIPE82-0152.36499.griz,8512.47,8499.271,0.9503561854362488
STRIPE82-0154,SPLUS.STRIPE82-0154.35821.griz,1014.1189999999999,8704.838,0.9905290007591248
STRIPE82-0158,SPLUS.STRIPE82-0158.22941.griz,2076.735,8032.875,0.9994489550590515
STRIPE82-0158,SPLUS.STRIPE82-0158.23201.griz,2046.275,7894.33,0.9532769918441772
STRIPE82-0164,SPLUS.STRIPE82-0164.34174.griz,9730.869,9156.872,0.999534010887146
STRIPE82-0008,SPLUS.STRIPE82-0008.21620.griz,7924.825,8324.164,0.987930417060852
STRIPE82-0012,SPLUS.STRIPE82-0012.21024.griz,8628.093,8975.494,0.9921038150787354
STRIPE82-0012,SPLUS.STRIPE82-0012.22564.griz,4262.766,8102.342,0.9990872144699097
STRIPE82-0014,SPLUS.STRIPE82-0014.21800.griz,8531.649,8403.768,0.9860168099403381
STRIPE82-0014,SPLUS.STRIPE82-0014.22249.griz,7500.339,8322.087,0.9882537126541138
STRIPE82-0014,SPLUS.STRIPE82-0014.23926.griz,3490.265,7897.217,0.99797123670578
STRIPE82-0020,SPLUS.STRIPE82-0020.22414.griz,1168.027,8249.753,0.997094988822937
STRIPE82-0116,SPLUS.STRIPE82-0116.43845.griz,4779.125,7972.274,0.996907651424408
STRIPE82-0023,SPLUS.STRIPE82-0023.11209.griz,2254.428,4311.958,0.9926055669784546
STRIPE82-0027,SPLUS.STRIPE82-0027.09330.griz,10089.614,3933.615,0.9993610978126526
STRIPE82-0031,SPLUS.STRIPE82-0031.08549.griz,9870.449,3545.913,0.9989297986030579
STRIPE82-0035,SPLUS.STRIPE82-0035.06190.griz,7555.727,3493.384,0.9514984488487244
STRIPE82-0037,SPLUS.STRIPE82-0037.09417.griz,9799.722,4098.95,0.9994810223579407
STRIPE82-0041,SPLUS.STRIPE82-0041.11800.griz,6866.738,3783.337,0.9999849796295166
STRIPE82-0041,SPLUS.STRIPE82-0041.13217.griz,6299.303000000001,4217.915,0.992352306842804
STRIPE82-0045,SPLUS.STRIPE82-0045.11624.griz,9509.564,4204.139,0.992760181427002
STRIPE82-0047,SPLUS.STRIPE82-0047.05450.griz,5968.522,3325.5040000000004,0.9999784231185913
STRIPE82-0047,SPLUS.STRIPE82-0047.08484.griz,5630.883000000001,4515.667,0.9994545578956604
STRIPE82-0047,SPLUS.STRIPE82-0047.08551.griz,5636.59,4534.61,0.9934245347976685
STRIPE82-0047,SPLUS.STRIPE82-0047.05474.griz,2386.658,3346.591,0.9939106702804565
STRIPE82-0051,SPLUS.STRIPE82-0051.11425.griz,1673.856,3409.2940000000003,0.9770781993865967
STRIPE82-0053,SPLUS.STRIPE82-0053.10311.griz,10155.933,3780.6020000000003,0.9927418231964111
STRIPE82-0053,SPLUS.STRIPE82-0053.12676.griz,5352.840999999999,4380.964,0.9650322198867798
STRIPE82-0053,SPLUS.STRIPE82-0053.13279.griz,3369.2140000000004,4541.427,0.9999966621398926
STRIPE82-0055,SPLUS.STRIPE82-0055.08483.griz,9395.042,3577.7990000000004,0.9681079387664795
STRIPE82-0059,SPLUS.STRIPE82-0059.11495.griz,8236.931999999999,3758.927,0.9988847374916077
STRIPE82-0065,SPLUS.STRIPE82-0065.09058.griz,1285.671,4224.62,0.9602012634277344
STRIPE82-0067,SPLUS.STRIPE82-0067.09798.griz,9901.183,3692.3259999999996,0.9569814205169678
STRIPE82-0083,SPLUS.STRIPE82-0083.09139.griz,4342.69,4546.359,0.9782261252403259
STRIPE82-0083,SPLUS.STRIPE82-0083.08175.griz,3459.99,4331.545999999999,0.9998270869255066
STRIPE82-0023,SPLUS.STRIPE82-0023.25362.griz,2984.171,7197.433000000001,0.9905459880828857
STRIPE82-0029,SPLUS.STRIPE82-0029.30072.griz,2672.07,6917.0869999999995,0.9999264478683472
STRIPE82-0033,SPLUS.STRIPE82-0033.28910.griz,7249.054,6727.52,0.9904127717018127
STRIPE82-0033,SPLUS.STRIPE82-0033.18167.griz,1781.7920000000001,6128.4580000000005,0.9961122870445251
STRIPE82-0035,SPLUS.STRIPE82-0035.24727.griz,8033.436,6084.206,0.9996144771575928
STRIPE82-0035,SPLUS.STRIPE82-0035.20761.griz,5921.814,7330.004,0.9527684450149536
STRIPE82-0037,SPLUS.STRIPE82-0037.19953.griz,9328.654,7040.64,0.9944596290588379
STRIPE82-0039,SPLUS.STRIPE82-0039.28561.griz,7320.839,6933.9130000000005,0.9629890322685242
STRIPE82-0039,SPLUS.STRIPE82-0039.29414.griz,6621.818,7023.005999999999,0.9820238947868347
STRIPE82-0039,SPLUS.STRIPE82-0039.29040.griz,6646.045,7022.219,0.9978006482124329
STRIPE82-0041,SPLUS.STRIPE82-0041.30046.griz,8491.693000000001,6090.914000000001,0.9569693803787231
STRIPE82-0043,SPLUS.STRIPE82-0043.28909.griz,8553.521,6980.129,0.9843823313713074
STRIPE82-0043,SPLUS.STRIPE82-0043.23252.griz,6695.225,6062.314,0.9793868660926819
