#FIELD,ID,P_merg,dr7objid_1,galcount,TType,objID,RA,Dec,X,Y,PhotoFlag,simple_class
STRIPE82-0018,SPLUS.STRIPE82-0018.04459.griz,0.9985999464988708,588015509274427398,561860,-1.7474418878555298,588015509274427398,11.4936,0.1214,4486.095,1712.905,3,Ei
STRIPE82-0018,SPLUS.STRIPE82-0018.01372.griz,0.9810722470283508,588015509274427533,561867,-1.8641685247421265,588015509274427533,11.552999999999999,0.027999999999999997,4097.222,1101.849,3,Ei
STRIPE82-0018,SPLUS.STRIPE82-0018.27443.griz,0.9998902082443237,588015510348169305,564026,-2.2483534812927246,588015510348169305,11.4944,0.9666,4480.736,7245.464,3,Er
STRIPE82-0019,SPLUS.STRIPE82-0019.24706.griz,0.990581750869751,587731185672716464,141847,-2.217594623565674,587731185672716464,13.0281,-0.4754,3718.8320000000003,6970.5380000000005,3,Er
STRIPE82-0019,SPLUS.STRIPE82-0019.14324.griz,0.9872570037841797,587731186209194124,142662,-0.991482138633728,587731186209194124,12.0707,-0.0269,9985.937,9906.35,2,Ei
STRIPE82-0019,SPLUS.STRIPE82-0019.18233.griz,0.9923843741416931,587731186209718282,142681,-2.341522693634033,587731186209718282,13.2026,-0.1522,2576.585,9086.165,3,Er
STRIPE82-0019,SPLUS.STRIPE82-0019.28581.griz,0.9858753085136414,588015508201078881,559609,2.0585274696350098,588015508201078881,12.4677,-0.6304,7386.611999999999,5955.92,3,S
STRIPE82-0019,SPLUS.STRIPE82-0019.22311.griz,0.999994158744812,588015508737949750,560789,3.5161213874816895,588015508737949750,12.4531,-0.3658,7482.422,7688.009,3,Ei
STRIPE82-0019,SPLUS.STRIPE82-0019.22644.griz,0.9731974601745605,588015508737949796,560790,-1.8554788827896118,588015508737949796,12.4355,-0.3835,7597.889,7572.302,3,Er
STRIPE82-0020,SPLUS.STRIPE82-0020.05603.griz,0.9995262622833252,587731186746392724,143585,0.18948012590408325,587731186746392724,12.8269,0.2187,5035.63,2350.112,3,Er
STRIPE82-0020,SPLUS.STRIPE82-0020.08922.griz,0.966069757938385,587731186746523771,143589,-1.9263883829116821,587731186746523771,13.0953,0.3543,3279.0440000000003,3237.9509999999996,2,Er
STRIPE82-0020,SPLUS.STRIPE82-0020.22414.griz,0.997094988822937,587731187820396680,145195,-2.1955246925354004,587731187820396680,13.4179,1.1199,1168.027,8249.753,3,Ei
